YearMonth,SoftDrinkProduction
1980-01,1954
1980-02,2302
1980-03,3054
1980-04,2414
1980-05,2226
1980-06,2725
1980-07,2589
1980-08,3470
1980-09,2400
1980-10,3180
1980-11,4009
1980-12,3924
1981-01,2072
1981-02,2434
1981-03,2956
1981-04,2828
1981-05,2687
1981-06,2629
1981-07,3150
1981-08,4119
1981-09,3030
1981-10,3055
1981-11,3821
1981-12,4001
1982-01,2529
1982-02,2472
1982-03,3134
1982-04,2789
1982-05,2758
1982-06,2993
1982-07,3282
1982-08,3437
1982-09,2804
1982-10,3076
1982-11,3782
1982-12,3889
1983-01,2271
1983-02,2452
1983-03,3084
1983-04,2522
1983-05,2769
1983-06,3438
1983-07,2839
1983-08,3746
1983-09,2632
1983-10,2851
1983-11,3871
1983-12,3618
1984-01,2389
1984-02,2344
1984-03,2678
1984-04,2492
1984-05,2858
1984-06,2246
1984-07,2800
1984-08,3869
1984-09,3007
1984-10,3023
1984-11,3907
1984-12,4209
1985-01,2353
1985-02,2570
1985-03,2903
1985-04,2910
1985-05,3782
1985-06,2759
1985-07,2931
1985-08,3641
1985-09,2794
1985-10,3070
1985-11,3576
1985-12,4106
1986-01,2452
1986-02,2206
1986-03,2488
1986-04,2416
1986-05,2534
1986-06,2521
1986-07,3093
1986-08,3903
1986-09,2907
1986-10,3025
1986-11,3812
1986-12,4209
1987-01,2138
1987-02,2419
1987-03,2622
1987-04,2912
1987-05,2708
1987-06,2798
1987-07,3254
1987-08,2895
1987-09,3263
1987-10,3736
1987-11,4077
1987-12,4097
1988-01,2175
1988-02,3138
1988-03,2823
1988-04,2498
1988-05,2822
1988-06,2738
1988-07,4137
1988-08,3515
1988-09,3785
1988-10,3632
1988-11,4504
1988-12,4451
1989-01,2550
1989-02,2867
1989-03,3458
1989-04,2961
1989-05,3163
1989-06,2880
1989-07,3331
1989-08,3062
1989-09,3534
1989-10,3622
1989-11,4464
1989-12,5411
1990-01,2564
1990-02,2820
1990-03,3508
1990-04,3088
1990-05,3299
1990-06,2939
1990-07,3320
1990-08,3418
1990-09,3604
1990-10,3495
1990-11,4163
1990-12,4882
1991-01,2211
1991-02,3260
1991-03,2992
1991-04,2425
1991-05,2707
1991-06,3244
1991-07,3965
1991-08,3315
1991-09,3333
1991-10,3583
1991-11,4021
1991-12,4904
1992-01,2252
1992-02,2952
1992-03,3573
1992-04,3048
1992-05,3059
1992-06,2731
1992-07,3563
1992-08,3092
1992-09,3478
1992-10,3478
1992-11,4308
1992-12,5029
1993-01,2075
1993-02,3264
1993-03,3308
1993-04,3688
1993-05,3136
1993-06,2824
1993-07,3644
1993-08,4694
1993-09,2914
1993-10,3686
1993-11,4358
1993-12,5587
1994-01,2265
1994-02,3685
1994-03,3754
1994-04,3708
1994-05,3210
1994-06,3517
1994-07,3905
1994-08,3670
1994-09,4221
1994-10,4404
1994-11,5086
1994-12,5725
1995-01,2367
1995-02,3819
1995-03,4067
1995-04,4022
1995-05,3937
1995-06,4365
1995-07,4290
